"HITID","Tweet","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"2D15OPB0YVGZL8073H5PHU316DOZ7E","Michelle Obama's Best Fashion Moments As First Lady http://t.co/POxD1MbD","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:09:28 UTC 2012"
"2UHXR24SMEZZFWWVEX0UGP9Y7EN1IN","RT @BooyahBoyzMusic: TOMMMOROW We will DISPOSE OF the ""COWARD IN CHIEF"" who watched BRAVE AMERICANS DIE &amp; Denied HELP! #Benghazi htt","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 01:08:55 UTC 2012"
"2WW4EGDHDM25YIWKF9N6PEZ6SKXMCD","RT @SandFostcat: The Most Devastating Anti-Obama Election Video of 2012? You Decide http://t.co/N3IqaMVS via @theblaze","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 18:01:43 UTC 2012"
"2U425L8I9NZWJRSAYY54YW7TCC2JTP","RT @BarackObama: President Obama in Virginia last night: This election is ""a choice between two very different visions for our future."" ","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 02:56:32 UTC 2012"
"2HOUFBNFSVGUYPHKX2N6VG1FW9GJ5Y","@CocaineMusic_ @camowhores excuse me but why is everyone who doesn't like Obama racist?","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 16:00:28 UTC 2012"
"2XGQ4J3NAB6BSWTQG8PI11TJJJAERN","If I was Obama I would play Zarathustra at ultra max volume as I took the oath as President. Dressed in a skin tight. black latex bodysuit.","A1Y6CLBM5VJQKD","funny","A2ZBYVQLDUZOV7","funny","Yes","funny","Mon Nov 19 07:55:51 UTC 2012"
"2YJXERSQV66RYZVTLD8V4AVKMCV2A0","I am looking for pro Obama Music for a new mix-tape.  If you have a song and want to submit. mention me. and I will send you the details.","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:05:05 UTC 2012"
"2X12D21O3W5XUAX0H292SYEPPYJ9FD","http://t.co/AkmcUSpz President #Obama held a late rally in Aurora. 11PM start. we'll show you some of it on #9News this morning!","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:48:40 UTC 2012"
"2I63W5XH0JPP5SGVQOGL0P75ORGEKU","Obama. Romney make a mad dash in a final bid for votes: President Barack Obama and Republican challenger Mitt Ro... http://t.co/bnYaQBJA","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 12:03:51 UTC 2012"
"2IF3V0FK0COKFTSCEHGKS9LR0CIHOX","Romneys wildest win scenario features Pennsylvania: With the current presidential election between Barack Obama... http://t.co/lHRYllh1","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:09:50 UTC 2012"
"2CEJ5OPB0YVGCICXOLYEX9U35816YW","Romney. Obama focus on key states during final lap","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 17:14:54 UTC 2012"
"2U6BDDP8PJWK7NRJPW23Y39Z4HZ5GG","People will vote for Obama as they voted here for Labour. You could stick a lefty rosette on a pig and they'd vote for it.","A2ZBYVQLDUZOV7","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Sun Nov 18 16:01:22 UTC 2012"
"22GHVI44OS2KY4MOFOQSJAP5F7TZ5Z","RT @butterflybee333: The Most Devastating Anti-Obama Election Video of 2012? You Decide http://t.co/88qfCDDL via @theblaze","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:12:48 UTC 2012"
"2JVIPDOBDDP82TAVMN485MB3U931CL","@dennygirltwo Great for him! I'm shocked at how ineptly and dishonestly Obama handled the terrorist attack in Libya. http://t.co/dYuxToHv","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 05:36:37 UTC 2012"
"2J9CJK63ZVE3U1EVMS1QHJL5V999YA","RT @dennygirltwo: Ohio??? Remember????? Obama sued Ohio because YOUR voting laws were Not To HIS liking &amp; NOT to HIS advantage??? #B","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 07:30:13 UTC 2012"
"2JVIPDOBDDP82TAVMN485MB3U93C1W","The Most Devastating Anti-Obama Election Video of 2012? You Decide http://t.co/HlAmri8L via @theblaze","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:28:33 UTC 2012"
"2TOSK9RJ85OZV9SSEK1PUOOQ9KQ6UY","Obama Campaign Struggles to Explain 'Revenge' Remark http://t.co/TaURJz8h","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 08:44:33 UTC 2012"
"2Q9NDWIOV1S75XHOLQL1BYDZCT1IXV","RT @DermotOleery: I heard that if the U.S. elections go to deadlock then Obama is performing a duet with JayZ.","A2ZBYVQLDUZOV7","funny","ATBZC1F0M7F2F","funny","Yes","funny","Sun Nov 18 23:56:45 UTC 2012"
"2J845UUKQOYG0SACF2ZOO010BYOWE7","Fewer Than 200 Show Up To See Stevie Wonder Perform At Pro-Obama Event In Cleveland  Patriot Update: http://t.co/BaHRAR6P LOL...","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 16:57:58 UTC 2012"
"2DH9RNDWIOV15H6YVNKG213YH51VGD","RT @tnewtondunn: YouGov's final poll - most expensive ever - has Obama the winner by 2% on popular vote and by 303-235 in elec college.","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 05:57:50 UTC 2012"
"26QPJWKUDD8XZLH1VJQ0J6UTSCMALX","Former Obama supporters are emerging around the country. and they're all saying the same thing: 'What's changed... http://t.co/oLR4MCBj","A2ZBYVQLDUZOV7","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Sun Nov 18 16:44:57 UTC 2012"
"2AKD5NQYN5F33AXRX3PMVCWYFA2B7K","US candidates campaign in swing states: Latest polls show President Barack Obama and rival Mitt Romney in statis...  http://t.co/xwSgFjui","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:26:29 UTC 2012"
"2T1011K274J7MU47YBZNC6UXJI6ECG","Obama used taxpayer $ to start his re-election campaign 18 months ago. What a swell guy!","A1Y6CLBM5VJQKD","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Mon Nov 19 12:21:16 UTC 2012"
"2NF3YOCCF0CPIUB0LSEIQXYG8VFSTE","RT @ClingingToGod: Will Tuesday be the End of Obamas Final War on America or the Beginning of his Revenge? http://t.co/xYLjCEZ5","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:09:56 UTC 2012"
"22M2J1LY58B7FH0BAQ6KPD162LKR6D","RT @4GayMarriage: Editor in Chief Matthew Breen on How Barack Obama Changed Our Lives and Our Politics: Those who were once silent... ht","A2ZBYVQLDUZOV7","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Sun Nov 18 16:59:36 UTC 2012"
"29JCSTMOFXRD5EWNTOPDVXJFQ7UTQQ","RT @Ritu330: Can't wait till tuesday so I can tweet about how stoked I am that obama won","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Mon Nov 19 07:12:16 UTC 2012"
"2776AUC26DG6KNF8V5RFS0COO8D4BU","On the final lap of an exhausting race. #Romney. #Obama narrow the field to key states: http://t.co/grkd7hnz #Election2012","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:21:38 UTC 2012"
"24ZMVHVKCJ01EUGIWTY9SQW65EH75G","RT @mksinsa: Hey #HomeDepot grab one of those Chinese made buckets &amp; mops off the shelf &amp; clean that #RomneyStench off of ya. I'","A1Y6CLBM5VJQKD","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Mon Nov 19 05:01:28 UTC 2012"
"23B6YTWX4H3HFZPF5J0GQ6IJVHZ3YN","Fuck today at school someone said ""I saw some black people they'll probably all vote for Obama"" ARE YOU FUCKING KIDDING ME","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 23:36:55 UTC 2012"
"2NFBAT2D5NQY0FTEIAAGDTYMRIQ73Q","RT @TelegraphBlogs: Bin Laden is dead and General Motors is alive. Thats why Barack Obama is heading back to the White House http://t.c","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Mon Nov 19 07:21:07 UTC 2012"
"283FQ0ONNVRHEUVZ1O7RJ76NZFDULS","On final lap. President Obama. Mitt Romney focus on key states http://t.co/RVuwlRfJ","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:54:24 UTC 2012"
"2PI6UFBNFSVG7VTE1FJWENG1JYWI4G","RT @PMgeezer: Bottom Line? Lapdog MSM must show Obama leading or tied - so when Obama loses GOP can be accused of ""voter suppression"". T","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 16:52:39 UTC 2012"
"2PZ88MQU6L5OO5QTT1OXCAIJJD9VC3","0% of US voters have a problem with Obama being black http://t.co/ktkvSfpz","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 04:28:55 UTC 2012"
"2TATMOFXRDS4VMFPQNEXRFM15GVVSX","Why can't I find any of my Obama shirts when I need them most?","A1YEHG8PFJ77WZ","funny","A2ZBYVQLDUZOV7","funny","Yes","funny","Sun Nov 18 17:19:33 UTC 2012"
"26AI2KYEPLSPKFYWEGNJBOAHUKIOU3","U.S. election goes down to the wire: Obama and Romney target key states in last-minute scramble for votes: Poll http://t.co/5y4oSGkM","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:49:49 UTC 2012"
"2GZHRRLFQ0ON055STU8OHEGRFD0HQ5","RT @PamGrier: Polls Reveal Mitt Trouble Closing With Key Voters Despite Obama Issues http://t.co/0LlJ6vVs via @huffingtonpost","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:14:40 UTC 2012"
"26EZ9RNDWIOVE2L3FD4TOU132JSFU9","RT @MICHAELDOLLAR: Credit card companies are prohibited from raising rates without advance notification or arbitrarily if customers payi","A2ZBYVQLDUZOV7","none","ATBZC1F0M7F2F","none","Yes","none","Sun Nov 18 23:36:36 UTC 2012"
"2JNL8I9NZW6HR9KZ6EHWFT86DMNLV9","RT @utaustinliberal: Need something to give you a pep in your step the day before Nov 6th? Watch Pres. Obama bust a move in Ohio. http:/","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Sun Nov 18 23:38:10 UTC 2012"
"2162L92HECWAJ7H9GM3F8CP5O3JHI2","@TheJusticeDept Republicans Whip Up Fears of Rigged Voting Machines to Delegitimize a Likely Obama Win http://t.co/WXIMkAdV @AP","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 04:40:59 UTC 2012"
"25F7H57DZKPFRESR5R4MA5L8MFHC2D","Obama and Romney in closing pitches as legal disputes begin http://t.co/mz3dWPt1","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:29:26 UTC 2012"
"2RT6BFMFFOYYV3F4BP4GMSC0V3PYLV","Obama and Romney: Where They Stand on the Issues - http://t.co/ZPqTQ68t #gaymilitary","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:15:39 UTC 2012"
"22T3L0FBJ9IOOTSUJOMEDRPR6STNZD","ASIA-Newsblog: Israel doesn't swing Jewish voters: Israel doesn't swing Jewish voters: After suggesting the Obama... http://t.co/o9CO1MHF","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:17:30 UTC 2012"
"270HPCGJ2D211DAGPRRJXPSI6QS4AZ","@frankrichny Mamet seems to think it will be *Obama* writing the new speech into Glengarry. or at least one of his fascistocommie minions.","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 03:00:04 UTC 2012"
"238U6L5OBVCIE1B8WK9JN7GU5G7ZGH","RT @WilsonLeeFlores: @teddyboylocsin Obama and Romney both have heart. suggest you read up on Romney to lessen biases against this moder","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 07:11:51 UTC 2012"
"2GH2MIKMN9U82JCE03NW5I3SY4BRA4","Obama. Romney launch final attempt to woo voters in battleground states - CTV News: CTV NewsObama. Romney launch final attempt to woo...","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 02:59:20 UTC 2012"
"2GKMIKMN9U8PM8HJL6NXQ3SU2OGBS8","RT @TheDailyEdge: #WhyImNotVotingForRomney He says Obama's had enough time to fix the economy but Bush's tax cuts for the rich need more","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 05:32:01 UTC 2012"
"2C4EC1PC6SK94TMGG99ZMHMAEVFO01","RT @PauleyP: #BeforeTuesday can we get this video out? http://t.co/jY4zbzRw  Like VIRAL to protect #Women and #LGBT Please vote #Obama","A2ZBYVQLDUZOV7","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 19 00:00:43 UTC 2012"
"2ZB3HVWAVKI6FXX1UBY2799QLC4OG4","Obama to get a second term - better the devil you know. but the US electorate can be unpredictable.","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 02:58:50 UTC 2012"
"29UXKNQY2RCJXGHANOUHZ0KUMGJ2R8","So excited to see who will be the president for the next four years.....Obama better win !!!!!!!!!!!!!","A2ZBYVQLDUZOV7","hopeful","AL7M7T6WKQPIV","hopeful","Yes","hopeful","Mon Nov 19 07:34:21 UTC 2012"
"267SI2KYEPLS2HJVDWXWR3OALW7TN3","Obama. Romney make a mad dash in a final bid for votes: President Barack Obama and Republican challenger Mitt Ro... http://t.co/IjfpJide","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:55:52 UTC 2012"
"2XNTYMNCWYB4MPN3K28X91JORYMLPO","Who do you believe will win the Presidential Election on Tuesday?  Let us know Click on the link http://t.co/hzYgh6uw #Romney. #Obama","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:31:07 UTC 2012"
"2PW4BLYHVI4412GVD4ZDVEZSFGJ1VK","RT @WEAYL: Wall Street supports Romney because Obama sprays money at them?  Wall Street abhors money printing (except in Europe) &amp; c","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 16:55:28 UTC 2012"
"20JLY58B727MDSUQCR41EYFSZLY9UC","Who's going to win the election obama or Romney? http://t.co/jdUjE3FM","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 02:56:25 UTC 2012"
"2XO7D1X3V0FKDM2VUT51U7PKOFFKD7","@brettappling: Obama will grab the early lead Tuesday. until the Republicans get off work hahahahahaha","A2ZBYVQLDUZOV7","funny","AL7M7T6WKQPIV","funny","Yes","funny","Mon Nov 19 07:42:46 UTC 2012"
"2H9YNJ92NJKMDFPXB3LH6W2GXV37CO","On final lap. Romney. Obama focus on key states: President Barack Obama and Mitt Romney storm into the final day of... http://t.co/JbBc1NkT","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 13:55:05 UTC 2012"
"267SI2KYEPLS2HJVDWXWR3OALW7NTX","Obama or Romney. Who do you think will win it?","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:26:15 UTC 2012"
"2LAMEZZ2MIKM0J8JHJP3GTWW1OWN6M","lets face it. there is no way Obama will be kicked out the white house. have no idea why they think it's close","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 02:53:05 UTC 2012"
"2BUF806UFBNF55U5DPU9DSW6RMVF1A","RT @MICHAELDOLLAR: Signed the HIRE Act (2010) The bill includes: tax cuts for small businesses who hire someone unemployed for at least","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:21:57 UTC 2012"
"2XVHDM25L8I909AH9OQ6WE4Q0DMGQ4","RT @ThePlumLineGS: Obama edges into slight national lead in RCP average: http://t.co/OhovWNJR Reduces chances state polls are wrong","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 09:14:06 UTC 2012"
"2787Q67051QKPX5CU3HC9XMGM6PEYP","US election: last day of campaigning live: Latest updates as Barack Obama and Mitt Romney embark on a frenzied l... http://t.co/az9kg9N1","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:33:20 UTC 2012"
"2QC8P9Y38TWWASH3M89M8JTAKTZIZS","General consensus of my 13 year olds is that Obama should be elected. If they can make the right choice...","A2ZBYVQLDUZOV7","hopeful","AL7M7T6WKQPIV","hopeful","Yes","hopeful","Mon Nov 19 07:23:44 UTC 2012"
"26E1INMHGYQ4WD1L3G2FUFFO24B7K0","RT @markknoller: It was 3:15AM/CT when Pres Obama arrived at his hotel in Madison. WI where he begins last day of campaign rallies later","A2ZBYVQLDUZOV7","none","A3169N2SCN3ENK","none","Yes","none","Mon Nov 19 04:28:14 UTC 2012"
"27IONNVRH1KH1JSRJLY6VV9LO2ZOXV","RT @Jim_Peoples_: RT @schmuckburns: @Jim_Peoples_ When Obama called on the Seals. they delivered Bin Laden. When the Seals called on Oba","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 17:19:10 UTC 2012"
"2I0NMHGYQ4J30KPH3PDFNOYYMZUM9W","RT @FloridaJayhawk Voting 4 GaryJohnson could give th race to Obama~Live 2 fight another day Libertarians~Vote MittRomney to save the nation","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 07:11:54 UTC 2012"
"2X6OGQSCM6IANC6PA4LU80OQOQ4HH9","For example if you believe Obama is a Communist. an Atheist AND a Muslim (obviously you're voting for Romney) but you should not be able to.","A2I8VBHRESMG9S","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Mon Nov 19 02:15:25 UTC 2012"
"2FK4E6AUBXHW5RLQDJ0VJZWDVRR1XN","The Daily Mash: 0% of US voters have a problem with Obama being black http://t.co/CXXcxPav","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 17:27:33 UTC 2012"
"28AQV66RLPHI6DV6OKMKQ62NNWVE6O","An #Obama victory will be a pyrrhic one if he has a Republican congress to work with. Vote #Democrat down the ticket. guys.","A2ZBYVQLDUZOV7","hopeful","AL7M7T6WKQPIV","hopeful","Yes","hopeful","Mon Nov 19 07:13:16 UTC 2012"
"2G2PFE4EGDHDZCJW0S0N7W6HI5ZJ9P","Tomorrow. November 6. 2012. is the day to vote to re-elect President Obama!","A2ZBYVQLDUZOV7","hopeful","AL7M7T6WKQPIV","hopeful","Yes","hopeful","Mon Nov 19 07:51:43 UTC 2012"
"2BR8JHSTLB3LDPPU1SFBREJRI17GST","I'm voting tomorrow Team Obama and all you Mitt Romney Fans can SUCK IT !!!!!","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Mon Nov 19 13:55:25 UTC 2012"
"22T3L0FBJ9IOOTSUJOMEDRPR6SSZNO","RT @MamselleG: If everyone on Twitter and tumblr could vote. I'm sure Obama would win the election with 99%!","A2ZBYVQLDUZOV7","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 19 00:01:56 UTC 2012"
"2M38I9NZW6HECG2PW0N71869K0FWMW","RT @zachbraff: Ladies. if you vote for Obama. @JaredLeto and I will personally come to your home and give you a foot massage.","A2ZBYVQLDUZOV7","funny","AL7M7T6WKQPIV","funny","Yes","funny","Mon Nov 19 02:59:54 UTC 2012"
"2BVD8XMB3Q39CAPHM3F614EVWZNGR4","@RealKevinNash went to vote but he pulled the curtain and tore his quad. Luckily for us he hit the Obama button the way down...hehe","A2ZBYVQLDUZOV7","funny","AL7M7T6WKQPIV","funny","Yes","funny","Mon Nov 19 07:20:00 UTC 2012"
"292MT6YTWX4HGRG03E49HGI6MPK1WT","I'm voting for revenge for 4 men Obama left to die.@BMOC98","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 23:34:08 UTC 2012"
"2KBVOK5UFJ51BH4PG96YYS1CWZG697","RT @rchiaberge: Much of the Media Is Calling the Presidential Race for Barack Obama http://t.co/s1zu2HPD via @thedailybeast","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:24:24 UTC 2012"
"2BQY1THV8ER9BI7YCSDZ0M5KJNM1OI","RT @MsNatTurner: The United States of America will be the laughing st be good for the economy but speculators say Romney will be good. at least for now&gt;&gt; http://t.co/f655JLl9.","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:39:43 UTC 2012"
"2TJPC6SK9RJ8IYDTRO8MIAPMSUJR38","Protesters removed from Obama rally after shouting during speech | The Ticket - Yahoo! News http://t.co/7QAR7KXS via @YahooNews","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 05:33:20 UTC 2012"
"2FWPLSP75KLMJ6XEGK8QMQVJVAEZTP","I just wanted to remind everybody to vote for Obama:). Or be forsaken:-/","A2ZBYVQLDUZOV7","hopeful","A3169N2SCN3ENK","hopeful","Yes","hopeful","Sun Nov 18 21:47:00 UTC 2012"
"2EWRSQV66RLPUS7E95NA3KI66TDC49","With election day on the 'morrow. check out our musical/video commentary on the presidential campaigns: http://t.co/150Tsv7L #obama #romney","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:20:58 UTC 2012"
"28GNJ92NJKM0IL0UL48Y42GTTFKD8G","@JoeNBC romney has to take pennsylvania. it is possible tho. and i think that would sink Obama","A2A2VSZ2C8PC19","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sun Nov 18 19:29:53 UTC 2012"
"2U78PJWKUDD8AWPEID0Z8B6UXU0K9Q","Obama ""Revenge"" Quote Reverberates on Campaign Trail http://t.co/Vupx60NG","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 02:57:53 UTC 2012"
"2W80ONNVRH1KUYNP8127ENV9PQPNWN","At midnight: Where the blank is the Spectre?-radio traffic in #Benghazi. Obama. Panetta....WHERE WAS THE SPECTRE? WE WANT TO KNOW!","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 07:11:27 UTC 2012"
"2PWBDPGFL6VC26DKJX4WQOV1WDLJ4T","The Most Devastating Anti-Obama Election Video of 2012? | Voting American http://t.co/SjBsKM6U","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:20:15 UTC 2012"
"2G2PFE4EGDHDZCJW0S0N7W6HI509JG","RT @PredictionMan Obama looked into his Future when he promised us #ShovelReadyJobs. He mea... http://t.co/8LzEYFOq *","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 17:09:36 UTC 2012"
"248Q7Q67051QXM12TCKQK1XMKOTDXO","RT @sarahhkeegann: Tomorrow were going to find out that Obama is our president again. #obama2012 #2TERMZ http://t.co/97XURaLo","A2ZBYVQLDUZOV7","hopeful","AL7M7T6WKQPIV","hopeful","Yes","hopeful","Mon Nov 19 07:55:00 UTC 2012"
"2NCFBNFSVGULSDNGK6XNO1FS7TRK6E","A little food for thought with one day until the US presidential election #USElection2012 #Obama #Palin #Romney http://t.co/KRF5O6Bi","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 16:55:43 UTC 2012"
"2SM9F9SSSHX1ET2YK3WHDF8J8UIYUP","The last dash for votes: President Obama and GOP challenger Mitt Romney will spend the final hours ahead of... http://t.co/0qwpI12L","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:26:53 UTC 2012"
"2N9LPHIT3HVWN5YTYCEJY217652BJR","RT @RightonMainSt: It amazes me that half the country still wants Obama after his pathetic track record in the last 4 years. Results. no","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 07:50:20 UTC 2012"
"2FB3DHJHP4BDQUUFQIIS59X3K9YW3G","@__Swagtastic__ I know but warrens attack is just so blatanty stupid I can't believe people believe that. Its like saying obama hates women","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 16:53:11 UTC 2012"
"2P4QU6L5OBVCVB58PE1IRF7GY73FY7","Joe sickens me with the enthusiasm lie. @Obama rallies over shadows #Romney rallies just like 2008. And BarniclePathetic","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sun Nov 18 22:35:50 UTC 2012"
"2OIG5R98D8J38OL7K2KN6CG3QIEEUR","RT @DesertCactus: Documents obtained by former Muslim Brotherhood member Walid Shoebat reportedly demonstrate the Obama... http://t.co/H","A182JW8U6PO60U","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 12:57:36 UTC 2012"
"2MFH0JPPSI2KBO3WKZY5SLM60PWIOQ","People of East Africa they thought if Obama is the Son of Africa due to his first term.But Me am still Proud of him regardless how..","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Mon Nov 19 19:17:28 UTC 2012"
"2NSUC26DG67DE7H6SPB0KOK2NKV6DO","RT @noelogara: Obama's big backer is Saudi; He repaid them by US gas policy &amp; weakening American military #pennsylvania #newhampshir","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 16:54:20 UTC 2012"
"2Y7CGJ2D21O39FBSSTGP0I2K2KJ6CO","@firstwebgirl Thx4Follow! ck out my blog- I do all I can to out Obama and his HUGE role in causing the FinancialCrisis: http://t.co/DTDOpLac","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 16:56:01 UTC 2012"
"23T3Q39Z0B6U6YK4WOMS1VRKKVPLWJ","Aljazeera news US candidates campaign in swing states: Latest polls show President Barack Obama and rival Mitt R...  http://t.co/1metjhTy","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:49:55 UTC 2012"
"2OM6OQ1SNQQ73GLBXBHKKNR16ZK6QT","Today is the final day of campaigning for Democrat Barrack Obama and Republican nominee Mitt Roomney ahead of USA polling tomorrow morning.","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:04:22 UTC 2012"
